owner,model_display,model_family,method,dataset,test_accuracy,test_f1_weighted,test_f1_macro,trainable_params,total_params,train_seconds,peak_vram_mb,notes
Shivaangii Jaiswal,RoBERTa-large LoRA r=16,RoBERTa-large,LoRA (fp16),sst2,0.9541,0.9559,,2624514,357986308,642.2,3674.1,"LoRA r=16, α=32, LR=5e-5, fp16 (bf16 NaN'd)"
Shivaangii Jaiswal,RoBERTa-large LoRA r=8,RoBERTa-large,LoRA (fp16),sst2,0.9518,0.9532,,1838082,357199876,795.1,3662.0,"LoRA r=8, α=16, LR=5e-5, fp16 (bf16 NaN'd)"
Shivaangii Jaiswal,BERTweet LoRA r=8,BERTweet,LoRA (bf16),sst2,0.9404,0.9420,,887042,135788548,683.7,1404.5,"LoRA r=8, α=16, LR=3e-4, bf16"
Shivaangii Jaiswal,DistilBERT LoRA r=8,DistilBERT,LoRA (bf16),sst2,0.8830,0.8859,,739586,67694596,190.7,734.0,"LoRA r=8, α=16, LR=3e-4, bf16"
Shivaangii Jaiswal,RoBERTa-large LoRA r=16,RoBERTa-large,LoRA (bf16),imdb,0.9291,0.9294,,2624514,357986308,165.0,5231.3,"LoRA r=16, LR=2e-4, bf16 (stable on IMDb)"
Shivaangii Jaiswal,RoBERTa-large LoRA r=8,RoBERTa-large,LoRA (bf16),imdb,0.9306,0.9311,,1838082,357199876,298.1,5217.8,"LoRA r=8, LR=2e-4, bf16"
Shivaangii Jaiswal,BERTweet LoRA r=8,BERTweet,LoRA (bf16),imdb,0.8868,0.8903,,887042,135788548,150.3,2023.0,"LoRA r=8, LR=3e-4, bf16"
Shivaangii Jaiswal,DistilBERT LoRA r=8,DistilBERT,LoRA (bf16),imdb,0.8748,0.8767,,739586,67694596,150.7,1039.6,"LoRA r=8, LR=3e-4, bf16"
Shivaangii Jaiswal,RoBERTa-large LoRA r=16,RoBERTa-large,LoRA (fp16),emotion,0.8960,,0.8461,2628614,357994508,212.0,4320.9,"LoRA r=16, LR=5e-5, fp16. Macro-F1 shown (multi-class)"
Shivaangii Jaiswal,RoBERTa-large LoRA r=8,RoBERTa-large,LoRA (fp16),emotion,0.8830,,0.8357,1842182,357208076,200.6,4308.3,"LoRA r=8, LR=5e-5, fp16"
Shivaangii Jaiswal,BERTweet LoRA r=8,BERTweet,LoRA (bf16),emotion,0.9160,,0.8700,890118,135794700,163.4,1581.7,"LoRA r=8, LR=3e-4, bf16"
Shivaangii Jaiswal,DistilBERT LoRA r=8,DistilBERT,LoRA (bf16),emotion,0.9235,,0.8804,742662,67700748,128.7,839.4,"LoRA r=8, LR=3e-4, bf16"
WaiYarAung,BERTweet (full fine-tune),BERTweet,Full fine-tuning,sst2,0.9531,0.9531,0.9525,135788548,135788548,,,"Full FT, LR=2e-5, 5 epochs. Test set 13,470 (combined splits)"
WaiYarAung,BERTweet (full fine-tune),BERTweet,Full fine-tuning,imdb,0.9006,0.9006,0.9006,135788548,135788548,,,"Full FT, LR=2e-5, 6 epochs. Test set 5,000"
WaiYarAung,BERTweet (full fine-tune),BERTweet,Full fine-tuning,emotion,0.9369,0.9369,0.9045,135788548,135788548,,,"Full FT, LR=2e-5, 4 epochs. Test set 3,200"
YU JUNCHENG,Bi-GRU + Attention,Bi-GRU,Train from scratch,sst2,0.8211,,,,,,,"Bi-GRU + Attention, vocab 8000. Acc only (no F1 reported). Test 872"
YU JUNCHENG,Bi-GRU + Attention,Bi-GRU,Train from scratch,imdb,0.8656,,,,,,,"Bi-GRU + Attention, vocab 8000. Test 25000"
YU JUNCHENG,Bi-GRU + Attention,Bi-GRU,Train from scratch,emotion,0.9110,,,,,,,"Bi-GRU + Attention, vocab 8000. Test 2000"
joannasj,BiLSTM + Attention,BiLSTM,Train from scratch,sst2,0.84,0.84,0.84,,,,,"BiLSTM + Attention, best weights. Test 872"
joannasj,BiLSTM + Attention,BiLSTM,Train from scratch,imdb,0.81,0.81,0.81,,,,,"BiLSTM + Attention, best weights. Test 25000"
joannasj,BiLSTM + Attention,BiLSTM,Train from scratch,emotion,0.92,0.92,0.89,,,,,"BiLSTM + Attention, best weights. Test 2000"
baseline,TF-IDF + Logistic Regression,Linear,Classical baseline,sst2,0.8188,0.8283,,,,,,"Test 872 (dev set used)"
baseline,TF-IDF + Logistic Regression,Linear,Classical baseline,imdb,0.8822,0.8822,,,,,,"Test 25000"
