run_name,model_name,dataset,method,lora_r,batch_size,epochs,bf16,total_params,trainable_params,trainable_ratio,train_seconds,train_peak_vram_mb,infer_seconds,infer_peak_vram_mb,test_accuracy,test_f1,test_precision,test_recall
lora_bertweet_r8,vinai/bertweet-base,emotion,lora,8,32,5,True,135794700,890118,0.006554880271468622,163.418,1581.72,1.375,636.71,0.916,0.8699544224640476,0.8661380185302628,0.8741717761173069
lora_bertweet_r8,vinai/bertweet-base,imdb,lora,8,32,5,True,135788548,887042,0.0065325243775344,150.282,2022.96,7.873,683.45,0.88676,0.8903265796304188,0.8631412904679636,0.91928
lora_bertweet_r8,vinai/bertweet-base,sst2,lora,8,32,5,True,135788548,887042,0.0065325243775344,683.731,1404.47,0.688,628.64,0.9403669724770642,0.9419642857142857,0.9377777777777778,0.9461883408071748
lora_distilbert_r8,distilbert-base-uncased,emotion,lora,8,32,5,True,67700748,742662,0.010969775400413597,128.676,839.4,1.045,374.23,0.9235,0.8804383493230943,0.8918052524126648,0.876474049860291
lora_distilbert_r8,distilbert-base-uncased,imdb,lora,8,32,5,True,67694596,739586,0.010925332946813067,150.702,1039.58,4.966,416.8,0.87484,0.8766799353643637,0.863978870504156,0.88976
lora_distilbert_r8,distilbert-base-uncased,sst2,lora,8,32,5,True,67694596,739586,0.010925332946813067,190.667,733.95,0.787,366.15,0.8830275229357798,0.8859060402684564,0.8839285714285714,0.8878923766816144
lora_roberta_large_r16,FacebookAI/roberta-large,emotion,lora,16,32,5,False,357994508,2628614,0.0073426098480818035,212.044,4320.89,1.552,1514.35,0.896,0.8460500580918916,0.8493433551206552,0.8430646424957264
lora_roberta_large_r16,FacebookAI/roberta-large,imdb,lora,16,32,5,True,357986308,2624514,0.007331325085204097,164.986,5231.28,12.506,1576.26,0.92912,0.9294305057745917,0.9253766851704996,0.93352
lora_roberta_large_r16,FacebookAI/roberta-large,sst2,lora,16,32,5,False,357986308,2624514,0.007331325085204097,642.248,3674.09,0.676,1506.85,0.9541284403669725,0.9559471365638766,0.9393939393939394,0.9730941704035875
lora_roberta_large_r8,FacebookAI/roberta-large,emotion,lora,8,32,5,False,357208076,1842182,0.005157167835141555,200.554,4308.33,1.553,1503.85,0.883,0.8357276590219471,0.8456519767097066,0.8291347732019183
lora_roberta_large_r8,FacebookAI/roberta-large,imdb,lora,8,32,5,True,357199876,1838082,0.005145808057335384,298.121,5217.78,12.935,1565.76,0.93064,0.9311248808388942,0.9246607762701168,0.93768
lora_roberta_large_r8,FacebookAI/roberta-large,sst2,lora,8,32,5,False,357199876,1838082,0.005145808057335384,795.133,3662.04,0.662,1496.35,0.9518348623853211,0.9532293986636972,0.9469026548672567,0.9596412556053812
